AudioFile,Volume,sentence,Target word
spf_270.wav,3,You knew about the clip,clip
spf_157.wav,1,The steamship left on a cruise,cruise
spf_183.wav,1,The woman talked about the frogs,frogs
spf_267.wav,2,The fruit was shipped in wooden crates,crates
spf_116.wav,4,He could discuss the bread,bread
spf_239.wav,2,A chimpanzee is an ape,ape
spf_85.wav,4,Tom is considering the clock,clock
spf_295.wav,4,Get the bread and cut me a slice,slice
spf_110.wav,4,Tom will discuss the swan,swan
spf_211.wav,5,Betty knew about the nap,nap
spf_158.wav,3,Miss Smith considered the scare,scare
spf_13.wav,3,Hold the baby on your lap,lap
spf_298.wav,5,The candle burned with a bright flame,flame
spf_164.wav,2,Ruth poured herself a cup of tea,tea
spf_108.wav,3,Watermelons have lots of seeds,seeds
spf_215.wav,1,Eve was made from Adam’s rib,rib
spf_151.wav,1,He hears she asked about the deck,deck
spf_228.wav,2,The house was robbed by a thief,theif
spf_27.wav,3,I had not thought about the growl,growl
spf_16.wav,2,Ruth hopes he heard about the hips,hips
spf_186.wav,1,They did not discuss the screen,screen
spf_282.wav,3,He rode off in a cloud of dust,dust
spf_32.wav,3,The beer drinkers raised their mugs,mugs
spf_78.wav,4,You had a problem with the blush,blush
spf_94.wav,3,The farmer baled the hay,hay
spf_125.wav,5,Mr. Brown carved the roast beef,beef
spf_146.wav,3,We shipped the furniture by truck,truck
spf_3.wav,4,Miss White won’t think about the crack,crack
spf_196.wav,2,Bill can’t have considered the wheels,wheels
spf_266.wav,3,The class should consider the flood,flood
spf_283.wav,4,Miss Brown might consider the coast,coast
spf_162.wav,5,The meat from a pig is called pork,pork
spf_135.wav,5,The man spoke about the clue,clue
spf_2.wav,2,Stir your coffee with a spoon,spoon
spf_6.wav,3,The old train was powered by steam,steam
spf_121.wav,5,The storm broke the sailboat’s mast,mast
spf_276.wav,3,A termite looks like an ant,ant
spf_181.wav,2,The lion gave an angry roar,roar
spf_68.wav,4,She hopes Jane called about the calf,calf
spf_87.wav,2,You should not speak about the braids,braids
spf_104.wav,1,We’re discussing the sheets,sheets
spf_70.wav,5,She shortened the hem of her skirt,skirt
spf_174.wav,3,She wore a feather in her cap,cap
spf_28.wav,2,The scarf was made of shiny silk,silk
spf_102.wav,1,The king wore a golden crown,crown
spf_48.wav,4,He was scared out of his wits,wits
spf_268.wav,4,I’m talking about the bench,bench
spf_231.wav,5,Tom had spoken about the pill,pill
spf_285.wav,3,The bloodhound followed the trail,trail
